Signal,Red,Yellow,Green,Vehicles_Crossed
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,8,700
Signal 2 RED,13,5,20,743
Signal 3 RED,63,5,20,199
Signal 4 RED,88,5,20,203
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,7,700
Signal 2 RED,12,5,20,743
Signal 3 RED,62,5,20,199
Signal 4 RED,87,5,20,203
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,6,700
Signal 2 RED,11,5,20,743
Signal 3 RED,61,5,20,199
Signal 4 RED,86,5,20,203
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,5,700
Signal 2 RED,10,5,20,743
Signal 3 RED,60,5,20,199
Signal 4 RED,85,5,20,203
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,4,700
Signal 2 RED,9,5,20,743
Signal 3 RED,59,5,20,199
Signal 4 RED,84,5,20,203
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,3,700
Signal 2 RED,8,5,20,743
Signal 3 RED,58,5,20,199
Signal 4 RED,83,5,20,203
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,2,700
Signal 2 RED,7,5,20,743
Signal 3 RED,57,5,20,199
Signal 4 RED,82,5,20,203
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,1,701
Signal 2 RED,6,5,20,743
Signal 3 RED,56,5,20,199
Signal 4 RED,81,5,20,203
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,100,5,20,701
Signal 2 GREEN,0,5,20,743
Signal 3 RED,25,5,20,199
Signal 4 RED,75,5,20,203
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,99,5,20,701
Signal 2 GREEN,0,5,19,753
Signal 3 RED,24,5,20,199
Signal 4 RED,74,5,20,203
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,98,5,20,701
Signal 2 GREEN,0,5,18,758
Signal 3 RED,23,5,20,199
Signal 4 RED,73,5,20,203
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,97,5,20,701
Signal 2 GREEN,0,5,17,763
Signal 3 RED,22,5,20,199
Signal 4 RED,72,5,20,203
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,96,5,20,701
Signal 2 GREEN,0,5,16,769
Signal 3 RED,21,5,20,199
Signal 4 RED,71,5,20,203
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,95,5,20,701
Signal 2 GREEN,0,5,15,773
Signal 3 RED,20,5,20,199
Signal 4 RED,70,5,20,203
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,94,5,20,701
Signal 2 GREEN,0,5,14,777
Signal 3 RED,19,5,20,199
Signal 4 RED,69,5,20,203
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,93,5,20,701
Signal 2 GREEN,0,5,13,781
Signal 3 RED,18,5,20,199
Signal 4 RED,68,5,20,203
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,92,5,20,701
Signal 2 GREEN,0,5,12,784
Signal 3 RED,17,5,20,199
Signal 4 RED,67,5,20,203
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,91,5,20,701
Signal 2 GREEN,0,5,11,785
Signal 3 RED,16,5,20,199
Signal 4 RED,66,5,20,203
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,90,5,20,701
Signal 2 GREEN,0,5,10,787
Signal 3 RED,15,5,20,199
Signal 4 RED,65,5,20,203
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,89,5,20,701
Signal 2 GREEN,0,5,9,787
Signal 3 RED,14,5,20,199
Signal 4 RED,64,5,20,203
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,88,5,20,701
Signal 2 GREEN,0,5,8,787
Signal 3 RED,13,5,20,199
Signal 4 RED,63,5,20,203
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,87,5,20,701
Signal 2 GREEN,0,5,7,788
Signal 3 RED,12,5,20,199
Signal 4 RED,62,5,20,203
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,86,5,20,701
Signal 2 GREEN,0,5,6,788
Signal 3 RED,11,5,20,199
Signal 4 RED,61,5,20,203
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,85,5,20,701
Signal 2 GREEN,0,5,5,788
Signal 3 RED,10,5,20,199
Signal 4 RED,60,5,20,203
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,84,5,20,701
Signal 2 GREEN,0,5,4,788
Signal 3 RED,9,5,20,199
Signal 4 RED,59,5,20,203
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,83,5,20,701
Signal 2 GREEN,0,5,3,788
Signal 3 RED,8,5,20,199
Signal 4 RED,58,5,20,203
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,82,5,20,701
Signal 2 GREEN,0,5,2,788
Signal 3 RED,7,5,20,199
Signal 4 RED,57,5,20,203
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,81,5,20,701
Signal 2 GREEN,0,5,1,788
Signal 3 RED,6,5,20,199
Signal 4 RED,56,5,20,203
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,75,5,20,701
Signal 2 RED,100,5,20,788
Signal 3 GREEN,0,5,20,199
Signal 4 RED,25,5,20,203
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,74,5,20,701
Signal 2 RED,99,5,20,788
Signal 3 GREEN,0,5,19,206
Signal 4 RED,24,5,20,203
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,73,5,20,701
Signal 2 RED,98,5,20,788
Signal 3 GREEN,0,5,18,208
Signal 4 RED,23,5,20,203
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,72,5,20,701
Signal 2 RED,97,5,20,788
Signal 3 GREEN,0,5,17,208
Signal 4 RED,22,5,20,203
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,71,5,20,701
Signal 2 RED,96,5,20,788
Signal 3 GREEN,0,5,16,208
Signal 4 RED,21,5,20,203
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,70,5,20,701
Signal 2 RED,95,5,20,788
Signal 3 GREEN,0,5,15,208
Signal 4 RED,20,5,20,203
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,69,5,20,701
Signal 2 RED,94,5,20,788
Signal 3 GREEN,0,5,14,208
Signal 4 RED,19,5,20,203
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,68,5,20,701
Signal 2 RED,93,5,20,788
Signal 3 GREEN,0,5,13,208
Signal 4 RED,18,5,20,203
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,67,5,20,701
Signal 2 RED,92,5,20,788
Signal 3 GREEN,0,5,12,208
Signal 4 RED,17,5,20,203
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,66,5,20,701
Signal 2 RED,91,5,20,788
Signal 3 GREEN,0,5,11,208
Signal 4 RED,16,5,20,203
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,65,5,20,701
Signal 2 RED,90,5,20,788
Signal 3 GREEN,0,5,10,208
Signal 4 RED,15,5,20,203
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,64,5,20,701
Signal 2 RED,89,5,20,788
Signal 3 GREEN,0,5,9,208
Signal 4 RED,14,5,20,203
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,63,5,20,701
Signal 2 RED,88,5,20,788
Signal 3 GREEN,0,5,8,209
Signal 4 RED,13,5,20,203
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,62,5,20,701
Signal 2 RED,87,5,20,788
Signal 3 GREEN,0,5,7,211
Signal 4 RED,12,5,20,203
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,61,5,20,701
Signal 2 RED,86,5,20,788
Signal 3 GREEN,0,5,6,211
Signal 4 RED,11,5,20,203
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,60,5,20,701
Signal 2 RED,85,5,20,788
Signal 3 GREEN,0,5,5,211
Signal 4 RED,10,5,20,203
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,59,5,20,701
Signal 2 RED,84,5,20,788
Signal 3 GREEN,0,5,4,212
Signal 4 RED,9,5,20,203
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,58,5,20,701
Signal 2 RED,83,5,20,788
Signal 3 GREEN,0,5,3,212
Signal 4 RED,8,5,20,203
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,57,5,20,701
Signal 2 RED,82,5,20,788
Signal 3 GREEN,0,5,2,212
Signal 4 RED,7,5,20,203
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,56,5,20,701
Signal 2 RED,81,5,20,788
Signal 3 GREEN,0,5,1,212
Signal 4 RED,6,5,20,203
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,25,5,20,701
Signal 2 RED,75,5,20,788
Signal 3 RED,100,5,20,212
Signal 4 GREEN,0,5,20,203
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,24,5,20,701
Signal 2 RED,74,5,20,788
Signal 3 RED,99,5,20,212
Signal 4 GREEN,0,5,19,210
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,23,5,20,701
Signal 2 RED,73,5,20,788
Signal 3 RED,98,5,20,212
Signal 4 GREEN,0,5,18,212
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,22,5,20,701
Signal 2 RED,72,5,20,788
Signal 3 RED,97,5,20,212
Signal 4 GREEN,0,5,17,213
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,21,5,20,701
Signal 2 RED,71,5,20,788
Signal 3 RED,96,5,20,212
Signal 4 GREEN,0,5,16,213
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,20,5,20,701
Signal 2 RED,70,5,20,788
Signal 3 RED,95,5,20,212
Signal 4 GREEN,0,5,15,213
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,19,5,20,701
Signal 2 RED,69,5,20,788
Signal 3 RED,94,5,20,212
Signal 4 GREEN,0,5,14,213
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,18,5,20,701
Signal 2 RED,68,5,20,788
Signal 3 RED,93,5,20,212
Signal 4 GREEN,0,5,13,214
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,17,5,20,701
Signal 2 RED,67,5,20,788
Signal 3 RED,92,5,20,212
Signal 4 GREEN,0,5,12,214
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,16,5,20,701
Signal 2 RED,66,5,20,788
Signal 3 RED,91,5,20,212
Signal 4 GREEN,0,5,11,214
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,15,5,20,701
Signal 2 RED,65,5,20,788
Signal 3 RED,90,5,20,212
Signal 4 GREEN,0,5,10,214
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,14,5,20,701
Signal 2 RED,64,5,20,788
Signal 3 RED,89,5,20,212
Signal 4 GREEN,0,5,9,214
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,13,5,20,701
Signal 2 RED,63,5,20,788
Signal 3 RED,88,5,20,212
Signal 4 GREEN,0,5,8,214
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,12,5,20,701
Signal 2 RED,62,5,20,788
Signal 3 RED,87,5,20,212
Signal 4 GREEN,0,5,7,214
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,11,5,20,701
Signal 2 RED,61,5,20,788
Signal 3 RED,86,5,20,212
Signal 4 GREEN,0,5,6,214
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,10,5,20,701
Signal 2 RED,60,5,20,788
Signal 3 RED,85,5,20,212
Signal 4 GREEN,0,5,5,214
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,9,5,20,701
Signal 2 RED,59,5,20,788
Signal 3 RED,84,5,20,212
Signal 4 GREEN,0,5,4,214
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,8,5,20,701
Signal 2 RED,58,5,20,788
Signal 3 RED,83,5,20,212
Signal 4 GREEN,0,5,3,214
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,7,5,20,701
Signal 2 RED,57,5,20,788
Signal 3 RED,82,5,20,212
Signal 4 GREEN,0,5,2,214
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,6,5,20,701
Signal 2 RED,56,5,20,788
Signal 3 RED,81,5,20,212
Signal 4 GREEN,0,5,1,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,20,701
Signal 2 RED,25,5,20,788
Signal 3 RED,75,5,20,212
Signal 4 RED,100,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,19,711
Signal 2 RED,24,5,20,788
Signal 3 RED,74,5,20,212
Signal 4 RED,99,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,18,717
Signal 2 RED,23,5,20,788
Signal 3 RED,73,5,20,212
Signal 4 RED,98,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,17,722
Signal 2 RED,22,5,20,788
Signal 3 RED,72,5,20,212
Signal 4 RED,97,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,16,726
Signal 2 RED,21,5,20,788
Signal 3 RED,71,5,20,212
Signal 4 RED,96,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,15,730
Signal 2 RED,20,5,20,788
Signal 3 RED,70,5,20,212
Signal 4 RED,95,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,14,735
Signal 2 RED,19,5,20,788
Signal 3 RED,69,5,20,212
Signal 4 RED,94,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,13,740
Signal 2 RED,18,5,20,788
Signal 3 RED,68,5,20,212
Signal 4 RED,93,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,12,742
Signal 2 RED,17,5,20,788
Signal 3 RED,67,5,20,212
Signal 4 RED,92,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,11,742
Signal 2 RED,16,5,20,788
Signal 3 RED,66,5,20,212
Signal 4 RED,91,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,10,742
Signal 2 RED,15,5,20,788
Signal 3 RED,65,5,20,212
Signal 4 RED,90,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,9,742
Signal 2 RED,14,5,20,788
Signal 3 RED,64,5,20,212
Signal 4 RED,89,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,8,742
Signal 2 RED,13,5,20,788
Signal 3 RED,63,5,20,212
Signal 4 RED,88,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,7,742
Signal 2 RED,12,5,20,788
Signal 3 RED,62,5,20,212
Signal 4 RED,87,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,6,742
Signal 2 RED,11,5,20,788
Signal 3 RED,61,5,20,212
Signal 4 RED,86,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,5,743
Signal 2 RED,10,5,20,788
Signal 3 RED,60,5,20,212
Signal 4 RED,85,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,4,744
Signal 2 RED,9,5,20,788
Signal 3 RED,59,5,20,212
Signal 4 RED,84,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,3,744
Signal 2 RED,8,5,20,788
Signal 3 RED,58,5,20,212
Signal 4 RED,83,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,2,746
Signal 2 RED,7,5,20,788
Signal 3 RED,57,5,20,212
Signal 4 RED,82,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,1,747
Signal 2 RED,6,5,20,788
Signal 3 RED,56,5,20,212
Signal 4 RED,81,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,100,5,20,748
Signal 2 GREEN,0,5,20,788
Signal 3 RED,25,5,20,212
Signal 4 RED,75,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,99,5,20,748
Signal 2 GREEN,0,5,19,798
Signal 3 RED,24,5,20,212
Signal 4 RED,74,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,98,5,20,748
Signal 2 GREEN,0,5,18,806
Signal 3 RED,23,5,20,212
Signal 4 RED,73,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,97,5,20,748
Signal 2 GREEN,0,5,17,812
Signal 3 RED,22,5,20,212
Signal 4 RED,72,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,96,5,20,748
Signal 2 GREEN,0,5,16,816
Signal 3 RED,21,5,20,212
Signal 4 RED,71,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,95,5,20,748
Signal 2 GREEN,0,5,15,820
Signal 3 RED,20,5,20,212
Signal 4 RED,70,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,94,5,20,748
Signal 2 GREEN,0,5,14,822
Signal 3 RED,19,5,20,212
Signal 4 RED,69,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,93,5,20,748
Signal 2 GREEN,0,5,13,825
Signal 3 RED,18,5,20,212
Signal 4 RED,68,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,92,5,20,748
Signal 2 GREEN,0,5,12,829
Signal 3 RED,17,5,20,212
Signal 4 RED,67,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,91,5,20,748
Signal 2 GREEN,0,5,11,830
Signal 3 RED,16,5,20,212
Signal 4 RED,66,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,90,5,20,748
Signal 2 GREEN,0,5,10,833
Signal 3 RED,15,5,20,212
Signal 4 RED,65,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,89,5,20,748
Signal 2 GREEN,0,5,9,834
Signal 3 RED,14,5,20,212
Signal 4 RED,64,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,88,5,20,748
Signal 2 GREEN,0,5,8,834
Signal 3 RED,13,5,20,212
Signal 4 RED,63,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,87,5,20,748
Signal 2 GREEN,0,5,7,834
Signal 3 RED,12,5,20,212
Signal 4 RED,62,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,86,5,20,748
Signal 2 GREEN,0,5,6,835
Signal 3 RED,11,5,20,212
Signal 4 RED,61,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,85,5,20,748
Signal 2 GREEN,0,5,5,837
Signal 3 RED,10,5,20,212
Signal 4 RED,60,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,84,5,20,748
Signal 2 GREEN,0,5,4,837
Signal 3 RED,9,5,20,212
Signal 4 RED,59,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,83,5,20,748
Signal 2 GREEN,0,5,3,837
Signal 3 RED,8,5,20,212
Signal 4 RED,58,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,82,5,20,748
Signal 2 GREEN,0,5,2,837
Signal 3 RED,7,5,20,212
Signal 4 RED,57,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,81,5,20,748
Signal 2 GREEN,0,5,1,837
Signal 3 RED,6,5,20,212
Signal 4 RED,56,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,75,5,20,748
Signal 2 RED,100,5,20,837
Signal 3 GREEN,0,5,20,212
Signal 4 RED,25,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,74,5,20,748
Signal 2 RED,99,5,20,837
Signal 3 GREEN,0,5,19,221
Signal 4 RED,24,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,73,5,20,748
Signal 2 RED,98,5,20,837
Signal 3 GREEN,0,5,18,223
Signal 4 RED,23,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,72,5,20,748
Signal 2 RED,97,5,20,837
Signal 3 GREEN,0,5,17,223
Signal 4 RED,22,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,71,5,20,748
Signal 2 RED,96,5,20,837
Signal 3 GREEN,0,5,16,223
Signal 4 RED,21,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,70,5,20,748
Signal 2 RED,95,5,20,837
Signal 3 GREEN,0,5,15,224
Signal 4 RED,20,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,69,5,20,748
Signal 2 RED,94,5,20,837
Signal 3 GREEN,0,5,14,224
Signal 4 RED,19,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,68,5,20,748
Signal 2 RED,93,5,20,837
Signal 3 GREEN,0,5,13,224
Signal 4 RED,18,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,67,5,20,748
Signal 2 RED,92,5,20,837
Signal 3 GREEN,0,5,12,224
Signal 4 RED,17,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,66,5,20,748
Signal 2 RED,91,5,20,837
Signal 3 GREEN,0,5,11,224
Signal 4 RED,16,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,65,5,20,748
Signal 2 RED,90,5,20,837
Signal 3 GREEN,0,5,10,224
Signal 4 RED,15,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,64,5,20,748
Signal 2 RED,89,5,20,837
Signal 3 GREEN,0,5,9,224
Signal 4 RED,14,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,63,5,20,748
Signal 2 RED,88,5,20,837
Signal 3 GREEN,0,5,8,224
Signal 4 RED,13,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,62,5,20,748
Signal 2 RED,87,5,20,837
Signal 3 GREEN,0,5,7,224
Signal 4 RED,12,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,61,5,20,748
Signal 2 RED,86,5,20,837
Signal 3 GREEN,0,5,6,224
Signal 4 RED,11,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,60,5,20,748
Signal 2 RED,85,5,20,837
Signal 3 GREEN,0,5,5,224
Signal 4 RED,10,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,59,5,20,748
Signal 2 RED,84,5,20,837
Signal 3 GREEN,0,5,4,225
Signal 4 RED,9,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,58,5,20,748
Signal 2 RED,83,5,20,837
Signal 3 GREEN,0,5,3,225
Signal 4 RED,8,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,57,5,20,748
Signal 2 RED,82,5,20,837
Signal 3 GREEN,0,5,2,226
Signal 4 RED,7,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,56,5,20,748
Signal 2 RED,81,5,20,837
Signal 3 GREEN,0,5,1,227
Signal 4 RED,6,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,25,5,20,748
Signal 2 RED,75,5,20,837
Signal 3 RED,100,5,20,228
Signal 4 GREEN,0,5,20,215
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,24,5,20,748
Signal 2 RED,74,5,20,837
Signal 3 RED,99,5,20,228
Signal 4 GREEN,0,5,19,224
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,23,5,20,748
Signal 2 RED,73,5,20,837
Signal 3 RED,98,5,20,228
Signal 4 GREEN,0,5,18,226
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,22,5,20,748
Signal 2 RED,72,5,20,837
Signal 3 RED,97,5,20,228
Signal 4 GREEN,0,5,17,229
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,21,5,20,748
Signal 2 RED,71,5,20,837
Signal 3 RED,96,5,20,228
Signal 4 GREEN,0,5,16,229
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,20,5,20,748
Signal 2 RED,70,5,20,837
Signal 3 RED,95,5,20,228
Signal 4 GREEN,0,5,15,229
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,19,5,20,748
Signal 2 RED,69,5,20,837
Signal 3 RED,94,5,20,228
Signal 4 GREEN,0,5,14,229
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,18,5,20,748
Signal 2 RED,68,5,20,837
Signal 3 RED,93,5,20,228
Signal 4 GREEN,0,5,13,229
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,17,5,20,748
Signal 2 RED,67,5,20,837
Signal 3 RED,92,5,20,228
Signal 4 GREEN,0,5,12,229
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,16,5,20,748
Signal 2 RED,66,5,20,837
Signal 3 RED,91,5,20,228
Signal 4 GREEN,0,5,11,230
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,15,5,20,748
Signal 2 RED,65,5,20,837
Signal 3 RED,90,5,20,228
Signal 4 GREEN,0,5,10,230
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,14,5,20,748
Signal 2 RED,64,5,20,837
Signal 3 RED,89,5,20,228
Signal 4 GREEN,0,5,9,230
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,13,5,20,748
Signal 2 RED,63,5,20,837
Signal 3 RED,88,5,20,228
Signal 4 GREEN,0,5,8,230
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,12,5,20,748
Signal 2 RED,62,5,20,837
Signal 3 RED,87,5,20,228
Signal 4 GREEN,0,5,7,230
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,11,5,20,748
Signal 2 RED,61,5,20,837
Signal 3 RED,86,5,20,228
Signal 4 GREEN,0,5,6,230
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,10,5,20,748
Signal 2 RED,60,5,20,837
Signal 3 RED,85,5,20,228
Signal 4 GREEN,0,5,5,230
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,9,5,20,748
Signal 2 RED,59,5,20,837
Signal 3 RED,84,5,20,228
Signal 4 GREEN,0,5,4,230
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,8,5,20,748
Signal 2 RED,58,5,20,837
Signal 3 RED,83,5,20,228
Signal 4 GREEN,0,5,3,230
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,7,5,20,748
Signal 2 RED,57,5,20,837
Signal 3 RED,82,5,20,228
Signal 4 GREEN,0,5,2,230
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,6,5,20,748
Signal 2 RED,56,5,20,837
Signal 3 RED,81,5,20,228
Signal 4 GREEN,0,5,1,230
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,20,748
Signal 2 RED,25,5,20,837
Signal 3 RED,75,5,20,228
Signal 4 RED,100,5,20,230
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,19,757
Signal 2 RED,24,5,20,837
Signal 3 RED,74,5,20,228
Signal 4 RED,99,5,20,230
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,18,762
Signal 2 RED,23,5,20,837
Signal 3 RED,73,5,20,228
Signal 4 RED,98,5,20,230
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,17,766
Signal 2 RED,22,5,20,837
Signal 3 RED,72,5,20,228
