,State_Signal 1,Red_Signal 1,Green_Signal 1,Vehicles_Crossed_Signal 1,State_Signal 2,Red_Signal 2,Green_Signal 2,Vehicles_Crossed_Signal 2,State_Signal 3,Red_Signal 3,Green_Signal 3,Vehicles_Crossed_Signal 3,State_Signal 4,Red_Signal 4,Green_Signal 4,Vehicles_Crossed_Signal 4
101,RED,74,20,54,RED,99,20,74,GREEN,0,19,17,RED,24,20,16
102,RED,73,20,54,RED,98,20,74,GREEN,0,18,20,RED,23,20,16
103,RED,72,20,54,RED,97,20,74,GREEN,0,17,20,RED,22,20,16
104,RED,71,20,54,RED,96,20,74,GREEN,0,16,20,RED,21,20,16
105,RED,70,20,54,RED,95,20,74,GREEN,0,15,20,RED,20,20,16
106,RED,69,20,54,RED,94,20,74,GREEN,0,14,20,RED,19,20,16
107,RED,68,20,54,RED,93,20,74,GREEN,0,13,21,RED,18,20,16
108,RED,67,20,54,RED,92,20,74,GREEN,0,12,22,RED,17,20,16
109,RED,66,20,54,RED,91,20,74,GREEN,0,11,22,RED,16,20,16
110,RED,65,20,54,RED,90,20,74,GREEN,0,10,22,RED,15,20,16
111,RED,64,20,54,RED,89,20,74,GREEN,0,9,22,RED,14,20,16
112,RED,63,20,54,RED,88,20,74,GREEN,0,8,23,RED,13,20,16
113,RED,62,20,54,RED,87,20,74,GREEN,0,7,23,RED,12,20,16
114,RED,61,20,54,RED,86,20,74,GREEN,0,6,23,RED,11,20,16
115,RED,60,20,54,RED,85,20,74,GREEN,0,5,23,RED,10,20,16
116,RED,59,20,54,RED,84,20,74,GREEN,0,4,23,RED,9,20,16
117,RED,58,20,54,RED,83,20,74,GREEN,0,3,24,RED,8,20,16
118,RED,57,20,54,RED,82,20,74,GREEN,0,2,24,RED,7,20,16
119,RED,56,20,54,RED,81,20,74,GREEN,0,1,25,RED,6,20,16
120,RED,25,20,54,RED,75,20,74,RED,100,20,25,GREEN,0,20,16
121,RED,24,20,54,RED,74,20,74,RED,99,20,25,GREEN,0,19,22
122,RED,23,20,54,RED,73,20,74,RED,98,20,25,GREEN,0,18,25
123,RED,22,20,54,RED,72,20,74,RED,97,20,25,GREEN,0,17,26
124,RED,21,20,54,RED,71,20,74,RED,96,20,25,GREEN,0,16,26
125,RED,20,20,54,RED,70,20,74,RED,95,20,25,GREEN,0,15,26
126,RED,19,20,54,RED,69,20,74,RED,94,20,25,GREEN,0,14,26
127,RED,18,20,54,RED,68,20,74,RED,93,20,25,GREEN,0,13,26
128,RED,17,20,54,RED,67,20,74,RED,92,20,25,GREEN,0,12,26
129,RED,16,20,54,RED,66,20,74,RED,91,20,25,GREEN,0,11,26
130,RED,15,20,54,RED,65,20,74,RED,90,20,25,GREEN,0,10,26
131,RED,14,20,54,RED,64,20,74,RED,89,20,25,GREEN,0,9,26
132,RED,13,20,54,RED,63,20,74,RED,88,20,25,GREEN,0,8,27
133,RED,12,20,54,RED,62,20,74,RED,87,20,25,GREEN,0,7,27
134,RED,11,20,54,RED,61,20,74,RED,86,20,25,GREEN,0,6,27
135,RED,10,20,54,RED,60,20,74,RED,85,20,25,GREEN,0,5,28
136,RED,9,20,54,RED,59,20,74,RED,84,20,25,GREEN,0,4,28
137,RED,8,20,54,RED,58,20,74,RED,83,20,25,GREEN,0,3,28
138,RED,7,20,54,RED,57,20,74,RED,82,20,25,GREEN,0,2,28
139,RED,6,20,54,RED,56,20,74,RED,81,20,25,GREEN,0,1,28
140,GREEN,0,20,54,RED,25,20,74,RED,75,20,25,RED,100,20,30
141,GREEN,0,19,63,RED,24,20,74,RED,74,20,25,RED,99,20,30
142,GREEN,0,18,67,RED,23,20,74,RED,73,20,25,RED,98,20,30
143,GREEN,0,17,72,RED,22,20,74,RED,72,20,25,RED,97,20,30
144,GREEN,0,16,77,RED,21,20,74,RED,71,20,25,RED,96,20,30
145,GREEN,0,15,82,RED,20,20,74,RED,70,20,25,RED,95,20,30
146,GREEN,0,14,85,RED,19,20,74,RED,69,20,25,RED,94,20,30
147,GREEN,0,13,87,RED,18,20,74,RED,68,20,25,RED,93,20,30
148,GREEN,0,12,87,RED,17,20,74,RED,67,20,25,RED,92,20,30
149,GREEN,0,11,87,RED,16,20,74,RED,66,20,25,RED,91,20,30
